"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","2","0","Updating an object","0"
"0","","0","","3","0","Creating multiple objects","0"
"0","","0","","1","0","","0"
"0","","1","","0","0","Get an object","0"
